,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,02. Situation Type,Half,03. Outcomes,04. Rating,01. Phase,<flag>New Flag
243,244,1,4235.626079044919,4252.057548461586,D2 Finding Balance,,After Offensive Set-Piece,2nd Half,Establishing Pressing,Neutral,,
244,245,1,4250.256983044918,4269.857255961252,D3 Middle / Lower Pressing,,D3 From High to Med/Low,2nd Half,Direct to O3/O4 OFF Transit,Successful,,
245,246,1,4250.8249311282525,4274.4906180865855,O3 Break Through,O3 Break Through,D3 Win Ball Low/Middle,2nd Half,Keep The Ball,Neutral,Transition,
246,247,1,4272.324609211253,4308.0230372529195,O2 Build Up,O2 Build Up,O2 After Regain,2nd Half,Stay In Phase,Neutral,,
247,248,1,4320.458325628251,4360.960214752585,O4 Finishing,O4 Finishing,"Long Range + 23,5 m",2nd Half,,,Direct Free Kick,
248,249,1,4352.126808044586,4363.126808044586,off free kick,,"Long Range + 23,5 m",2nd Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,Direct Free Kick,
249,250,1,4363.391875502919,4386.291879794586,D3 High Pressing,,D3 Goal Kick or Free Kick,2nd Half,Stay In Phase,Neutral,,
250,251,1,4384.2261132115855,4406.225298544918,D3 Middle / Lower Pressing,,D3 From High to Med/Low,2nd Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
251,252,1,4412.959184752586,4427.125651002586,O1 Play from the Back,O1 Play from the Back,O1 Goal Kick or Free Kick,2nd Half,Progress to Next Phase,Successful,,
252,253,1,4425.192441544254,4456.859503044586,O2 Build Up,O2 Build Up,O1 to O2,2nd Half,Progress to Next Phase,Successful,,
253,254,1,4437.758529377919,4469.159942086585,O3 Break Through,O3 Break Through,Central Play Infront of Backline,2nd Half,Ball Loss --> D3 Press,Unsuccessful,Established Play,
254,255,1,4450.05910675292,4474.726925794253,O4 Finishing,O4 Finishing,Chipball,2nd Half,Intercepted by Defence,Unsuccessful,Established Play,
255,256,1,4472.759566711586,4486.393528044586,D3 High Pressing,,D3 Goal Kick or Free Kick,2nd Half,Stay In Phase,Neutral,,
256,257,1,4488.527510128251,4568.593638211253,D3 Middle / Lower Pressing,,D3 Press on Throw-In,2nd Half,D4 Chance,Unsuccessful,,
257,258,1,4553.792218753251,4573.527919835919,D4 Defending the Box,,Pass Infront of Backline,2nd Half,Open Chance,Unsuccessful,Established Play,
258,259,1,4572.461438794253,4703.960305253253,D3 Middle / Lower Pressing,,After Ball Loss,2nd Half,Direct to O3/O4 OFF Transit,Successful,,
259,260,1,4702.5621330859185,4713.393514752918,O2 Build Up,O2 Build Up,O2 Free Kick,2nd Half,Ball Loss --> D3 Press,Unsuccessful,,
260,261,1,4712.828460628252,4731.661365335918,D3 High Pressing,,D3 Goal Kick or Free Kick,2nd Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
261,262,1,4730.029016169585,4776.518716586585,O2 Build Up,O2 Build Up,O2 Throw-In,2nd Half,Ball Loss --> D3 Press,Unsuccessful,,
262,263,1,4767.9618652945865,4779.9279305442515,D1 Counterpress,,After O2 build-up,2nd Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
263,264,1,4779.127920877585,4794.794234669253,O2 Build Up,O2 Build Up,O2 After Regain,2nd Half,Ball Loss --> D3 Press,Unsuccessful,,
264,265,1,4793.7287862525845,4828.460965461585,D3 High Pressing,,After Ball Loss,2nd Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
265,266,1,4821.094396836253,4845.06107033592,O3 Break Through,O3 Break Through,Wide Link Up Play,2nd Half,"Cross, Shot, Set-Piece or Box Entry",Successful,Established Play,
266,267,1,4825.894117544585,4848.394181836253,O4 Finishing,O4 Finishing,Chipball,2nd Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play,
267,268,1,4828.3939485442515,4838.396375586251,O2 Build Up,O2 Build Up,O2 After Regain,2nd Half,Progress to Next Phase,Successful,,
268,269,1,4864.8232657945855,4877.629318586585,O2 Build Up,O2 Build Up,O2 Throw-In,2nd Half,Ball Loss --> D3 Press,Unsuccessful,,
269,270,1,4868.894409211585,4889.563135794253,D2 Finding Balance,,After Offensive Set-Piece,2nd Half,Establishing Pressing,Neutral,,
270,271,1,4887.6290417949185,4933.396585711585,D3 Middle / Lower Pressing,,After Ball Loss,2nd Half,Direct to O3/O4 OFF Transit,Successful,,
271,272,1,4915.629870752586,4940.894493502586,O3 Break Through,O3 Break Through,D3 Win Ball Low/Middle,2nd Half,Keep The Ball,Neutral,Transition,
272,273,1,4945.129029961585,4977.063445377919,O2 Build Up,O2 Build Up,O2 Free Kick,2nd Half,Progress to Next Phase,Successful,,
273,274,1,4958.462266669252,4981.928357002918,O3 Break Through,O3 Break Through,1v1 Wide / Halfspace,2nd Half,Keep The Ball,Neutral,Established Play,
274,275,1,4982.463576794253,5003.794461336252,O2 Build Up,O2 Build Up,O2 Throw-In,2nd Half,Stay In Phase,Neutral,,
275,276,1,5001.862650753253,5011.096084628252,O1 Play from the Back,O1 Play from the Back,O2 to O1,2nd Half,Progress to Next Phase,Successful,,
276,277,1,5008.861272628253,5021.396497335919,O2 Build Up,O2 Build Up,O1 to O2,2nd Half,Ball Loss --> D3 Press,Unsuccessful,,
277,278,1,5016.396033419251,5033.794734752584,D2 Finding Balance,,After Ball Loss,2nd Half,Establishing Pressing,Neutral,,
278,279,1,5031.6304025025875,5042.429124586586,D3 Middle / Lower Pressing,,After Ball Loss,2nd Half,Stay In Phase,Neutral,,
279,280,1,5041.730005502585,5077.8955042945845,D3 Middle / Lower Pressing,,D3 Press on Throw-In,2nd Half,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,,
280,281,1,5089.063986794252,5132.963904794585,D4 Defending the Box,,Back Area,2nd Half,,,Lateral Free Kick,
281,282,1,5122.629420669586,5133.629420669586,def free kick,,Back Area,2nd Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,,
282,283,1,5131.0290978775865,5159.431138710919,O1 Play from the Back,O1 Play from the Back,O1 Goal Kick or Free Kick,2nd Half,Ball Loss --> D3 Press,Unsuccessful,,
283,284,1,5157.896485794252,5175.329416461251,O2 Build Up,O2 Build Up,O2 After Regain,2nd Half,Ball Loss --> D3 Press,Unsuccessful,,
284,285,1,5175.462099794919,5235.330164211251,D3 Middle / Lower Pressing,,D3 Goal Kick or Free Kick,2nd Half,Stay In Phase,Neutral,,
285,286,1,5238.464645419919,5250.329319294585,D3 Middle / Lower Pressing,,D3 Press on Throw-In,2nd Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
286,287,1,5250.195804961586,5278.662530128252,O1 Play from the Back,O1 Play from the Back,O1 After Regain,2nd Half,Progress to Next Phase,Successful,,
