,code_id,period_id,timestamp,end_timestamp,code,Half,Opponent,04. Rating,03. Outcomes,Time Period,02. Situation Type,00. Start Phase,01. Phase,<flag>New Flag
0,1,1,0.0,2706.9413736185015,KO,1st Half,FCK,,,,,,,
1,2,1,0.8463202857432179,20.510018135681605,D3 Middle / Lower Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,,,,
2,3,1,21.680965072681886,42.77825629901503,D3 High Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,After Ball Loss,,,
3,4,1,40.10346915301517,78.9822094060151,O3 Break Through,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Central Play Infront of Backline,O3 Break Through,Established Play,True
4,5,1,40.61032902534845,59.12949565368166,O2 Build Up,1st Half,FCK,Successful,Progress to Next Phase,0 - 15 min,O2 After Regain,O2 Build Up,,
5,6,1,95.08939970568156,123.23010544968167,O3 Break Through,1st Half,FCK,Neutral,Ball Loss --> D3 Press,0 - 15 min,D3 High Press on Opp. Half,O3 Break Through,Transition,
6,7,1,99.52078980768164,114.04650474334841,D3 High Pressing,1st Half,FCK,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,D3 Goal Kick or Free Kick,,,
7,8,1,124.46409577234834,152.58858483348337,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,D3 Press on Throw-In,,,True
8,9,1,149.84399345101502,165.66324311934846,O2 Build Up,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,O2 After Regain,O2 Build Up,,
9,10,1,153.2497138838884,203.98174444444447,Bench,,FCK,,,,,,,True
10,11,1,157.77474587301515,187.07041747134826,O3 Break Through,1st Half,FCK,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,O3 Break Through,Established Play,
11,12,1,163.44681848134837,169.05985466634837,O1 Play from the Back,1st Half,FCK,Successful,Progress to Next Phase,0 - 15 min,O2 to O1,O1 Play from the Back,,
12,13,1,166.85740664601525,176.95254881468173,O2 Build Up,1st Half,FCK,Successful,Progress to Next Phase,0 - 15 min,O1 to O2,O2 Build Up,,
13,14,1,167.95002931068166,191.75989632201504,O4 Finishing,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Pass Infront of Backline,O4 Finishing,Established Play,
14,15,1,183.80564860301507,202.9849995306817,D1 Counterpress,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,After O3/O4,,,
15,16,1,200.91229026768184,214.18666547468177,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 After Regain,O2 Build Up,,
16,17,1,206.9428849170152,219.57900088434843,D2 Finding Balance,1st Half,FCK,Neutral,Establishing Pressing,0 - 15 min,After Ball Loss,,,
17,18,1,217.5848698393483,234.163316748015,D3 Middle / Lower Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,After Ball Loss,,,
18,19,1,232.44240749568183,247.20940871401518,D3 High Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,D3 From Low/Med to High,,,
19,20,1,249.55822182268167,265.4523066593484,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,D3 Goal Kick or Free Kick,,,
20,21,1,263.75494590534834,278.15625243360626,O1 Play from the Back,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O1 After Regain,O1 Play from the Back,,True
21,22,1,280.40169408334833,298.5722433220149,D3 Middle / Lower Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,D3 Press on Throw-In,,,
22,23,1,296.32235506401486,312.0128466356817,D3 High Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,D3 From Low/Med to High,,,
23,24,1,310.3554263516816,345.0866494736818,D3 Middle / Lower Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,D3 Press on Throw-In,,,
24,25,1,338.51356434268183,375.7883863530149,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Long Throw,,Throw In,
25,26,1,363.1193215250151,387.4598185886817,D4 Defending the Box,1st Half,FCK,Unsuccessful,Chance,0 - 15 min,Chipball,,Established Play,
26,27,1,385.9147424826818,398.38921943901533,O1 Play from the Back,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O1 Goal Kick or Free Kick,O1 Play from the Back,,
27,28,1,392.07291880201507,404.8604967756817,D1 Counterpress,1st Half,FCK,Neutral,Establishing Pressing,0 - 15 min,After O1 build-up,,,
28,29,1,403.7618319706817,442.3130985546821,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,D3 Press on Throw-In,,,
29,30,1,440.7111623813484,449.58293497201527,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 Throw-In,O2 Build Up,,
30,31,1,456.82134147301514,483.2901539656819,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,D3 Goal Kick or Free Kick,,,True
31,32,1,481.7361468906818,505.8288159640147,O2 Build Up,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,O2 Free Kick,O2 Build Up,,
32,33,1,503.78750184768165,527.5998444847179,O1 Play from the Back,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 to O1,O1 Play from the Back,,True
33,34,1,525.3848157210152,551.6418743655432,D3 Middle / Lower Pressing,1st Half,FCK,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,After Ball Loss,,,
34,35,1,527.5616768269455,564.7034701188625,Bench,,FCK,,,,,,,True
35,36,1,530.0788312572128,563.87540865025,O3 Break Through,1st Half,FCK,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,D3 Win Ball Low/Middle,O3 Break Through,Transition,True
36,37,1,545.1638969200153,572.0039123746815,O4 Finishing,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Pass Infront of Backline,O4 Finishing,Transition,
37,38,1,561.4816053520151,607.200529101015,O4 Finishing,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Front Area,O4 Finishing,Corner Kick,
38,39,1,595.6199808013482,606.6199808013482,off corner,1st Half,FCK,,,,Front Area,,,
39,40,1,607.1916129966817,626.9451138080149,D3 High Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,D3 Goal Kick or Free Kick,,,
40,41,1,609.3231444444444,639.3231444444444,Bench,,FCK,,,,,,,True
41,42,1,618.5294022613487,638.157696572682,D2 Finding Balance,1st Half,FCK,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,D3 High Press on Opp. Half,,,
42,43,1,623.3175303613482,644.5017668976814,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Pass Infront of Backline,,Established Play,
43,44,1,642.6587333380148,668.027361465077,O1 Play from the Back,1st Half,FCK,Successful,Progress to Next Phase,0 - 15 min,O1 Goal Kick or Free Kick,O1 Play from the Back,,True
44,45,1,664.0138319493481,669.9303349556815,O2 Build Up,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,O1 to O2,O2 Build Up,,
45,46,1,670.6734903083484,707.2728508563484,O2 Build Up,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,O2 Throw-In,O2 Build Up,,
46,47,1,696.1904666666667,716.1904666666667,Ndividual,,FCK,,,,,,,True
47,48,1,705.319828181348,754.0929274833463,O1 Play from the Back,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 to O1,O1 Play from the Back,,True
48,49,1,719.5476375956819,752.4591996193487,D1 Counterpress,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,After O1 build-up,,,
49,50,1,741.9008816986818,771.2661215576816,O3 Break Through,1st Half,FCK,Neutral,Keep The Ball,0 - 15 min,,O3 Break Through,Established Play,True
50,51,1,750.523516385015,761.1345618570149,O2 Build Up,1st Half,FCK,Successful,Progress to Next Phase,0 - 15 min,O2 After Regain,O2 Build Up,,
51,52,1,769.1061073596816,789.6393866323481,O2 Build Up,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,O3 to O2,O2 Build Up,,
52,53,1,788.7601612713484,811.4104162163485,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D4 Defend The Box,0 - 15 min,O2 Throw-In,O2 Build Up,,
53,54,1,796.9751655536816,818.5188237846817,D4 Defending the Box,1st Half,FCK,Unsuccessful,Chance,0 - 15 min,Through Pass,,Transition,
54,55,1,816.2998560953486,844.6722172230152,O3 Break Through,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Early Through Pass or Cross,O3 Break Through,Established Play,
55,56,1,818.6906224946816,839.7140755055069,O1 Play from the Back,1st Half,FCK,Successful,Progress to Next Phase,0 - 15 min,O1 Goal Kick or Free Kick,O1 Play from the Back,,True
56,57,1,836.6938267823484,870.129321412678,D2 Finding Balance,1st Half,FCK,Neutral,Establishing Pressing,0 - 15 min,After Ball Loss,,,
57,58,1,840.0079436715042,886.8544788893486,D3 Middle / Lower Pressing,1st Half,FCK,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,After Ball Loss,,,True
58,59,1,871.7331242456814,890.4022557423482,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Chipball,,Established Play,
59,60,1,889.8379555506817,908.6368168800147,D3 Middle / Lower Pressing,1st Half,FCK,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,After Ball Loss,,,
60,61,1,894.6019900600147,909.5894000473056,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Square Pass,,Established Play,
61,62,1,912.207057399199,957.665,Bench,,FCK,,,,,,,True
62,63,1,912.7222305916816,931.5559152886817,D3 Middle / Lower Pressing,1st Half,FCK,Neutral,Stay In Phase,16 - 30 min,After Ball Loss,,,
63,64,1,931.8545003023482,959.9833622943484,D3 High Pressing,1st Half,FCK,Neutral,Stay In Phase,16 - 30 min,D3 From Low/Med to High,,,True
64,65,1,960.8344242880148,982.2044200210148,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,After Ball Loss,,,
65,66,1,981.6968366620149,1011.1636048446817,O1 Play from the Back,1st Half,FCK,Successful,Progress to Next Phase,16 - 30 min,O1 Throw-In,O1 Play from the Back,,True
66,67,1,1011.7654821500155,1058.6112885663483,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,O2 Free Kick,O2 Build Up,,
67,68,1,1049.7373282836813,1071.5870245346814,D1 Counterpress,1st Half,FCK,Neutral,Establishing Pressing,16 - 30 min,After O2 build-up,,,
68,69,1,1092.1233042030149,1143.0083855470152,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,D3 Goal Kick or Free Kick,,,
69,70,1,1184.8282964173484,1213.1071048966812,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,O2 Free Kick,O2 Build Up,,True
70,71,1,1211.5369335853482,1228.5468299373485,D3 High Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,After Ball Loss,,,
71,72,1,1225.6052635017843,1239.8998938029797,O1 Play from the Back,1st Half,FCK,Successful,Progress to Next Phase,16 - 30 min,O1 After Regain,O1 Play from the Back,,True
72,73,1,1226.9681064000151,1273.519445201015,O3 Break Through,1st Half,FCK,Neutral,Keep The Ball,16 - 30 min,Wide Link Up Play,O3 Break Through,Established Play,
73,74,1,1233.4678433786814,1246.1049991646814,O2 Build Up,1st Half,FCK,Successful,Progress to Next Phase,16 - 30 min,O1 to O2,O2 Build Up,,
74,75,1,1271.6382663693482,1287.423210759015,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,O3 to O2,O2 Build Up,,
75,76,1,1279.9435782920152,1306.9300341936816,O3 Break Through,1st Half,FCK,Successful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,D3 Win Ball Low/Middle,O3 Break Through,Transition,
76,77,1,1283.489980115015,1297.3236660140153,D2 Finding Balance,1st Half,FCK,Neutral,Establishing Pressing,16 - 30 min,After Ball Loss,,,
77,78,1,1287.9681099463482,1316.9077384243483,O4 Finishing,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Chipball,O4 Finishing,Transition,True
78,79,1,1318.149211111111,1348.149211111111,Bench,,FCK,,,,,,,True
79,80,1,1324.1992095023484,1341.1340226353482,D3 Middle / Lower Pressing,1st Half,FCK,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,D3 Press on Throw-In,,,
80,81,1,1326.4513580980154,1350.4086586383485,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Square Pass,,Established Play,
81,82,1,1336.0381880793482,1356.2758510973483,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,1v1,,Established Play,
82,83,1,1354.4183170863482,1377.0343246840148,O1 Play from the Back,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,O1 Goal Kick or Free Kick,O1 Play from the Back,,
83,84,1,1377.0461657796816,1398.2124340943483,D3 Middle / Lower Pressing,1st Half,FCK,Successful,Direct to O3/O4 OFF Transit,16 - 30 min,After Ball Loss,,,
84,85,1,1390.8764994200149,1415.6902383176816,O3 Break Through,1st Half,FCK,Neutral,Keep The Ball,16 - 30 min,1v1 Wide / Halfspace,O3 Break Through,Established Play,
85,86,1,1394.702890625,1417.8430333333333,Ndividual,,FCK,,,,,,,
86,87,1,1411.6842182601881,1454.615188888889,Bench,,FCK,,,,,,,True
87,88,1,1414.3437503840148,1435.1174762043483,O2 Build Up,1st Half,FCK,Neutral,Stay In Phase,16 - 30 min,O2 Free Kick,O2 Build Up,,
88,89,1,1433.059243201015,1451.791625934348,O1 Play from the Back,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,O2 to O1,O1 Play from the Back,,
89,90,1,1451.4286063803486,1487.3247876683483,D3 Middle / Lower Pressing,1st Half,FCK,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,After Ball Loss,,,
90,91,1,1472.907637906015,1492.3502506283482,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Chipball,,Established Play,
91,92,1,1490.356393439348,1543.9924269846817,D3 Middle / Lower Pressing,1st Half,FCK,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,After Ball Loss,,,
92,93,1,1519.8571156948426,1548.1531760256812,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,1v1,,Established Play,True
93,94,1,1546.9193113076815,1572.6210859510147,O1 Play from the Back,1st Half,FCK,Successful,Progress to Next Phase,16 - 30 min,O1 Goal Kick or Free Kick,O1 Play from the Back,,
94,95,1,1560.3661563873484,1591.7897834110152,O3 Break Through,1st Half,FCK,Neutral,Keep The Ball,16 - 30 min,Wide Link Up Play,O3 Break Through,Established Play,
95,96,1,1580.2571312940831,1600.7885444444441,Ndividual,,FCK,,,,,,,
96,97,1,1592.9259053396818,1646.3597235223485,O4 Finishing,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Central Area,O4 Finishing,Lateral Free Kick,
97,98,1,1627.5507989093483,1638.5507989093483,off free kick,1st Half,FCK,,,,Central Area,,,
98,99,1,1662.8885139863487,1688.3813562560154,D3 High Pressing,1st Half,FCK,Neutral,Stay In Phase,16 - 30 min,D3 Goal Kick or Free Kick,,,
99,100,1,1686.3812203496814,1705.267951860015,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,D3 From High to Med/Low,,,
100,101,1,1704.0966674860147,1736.7886987103482,O2 Build Up,1st Half,FCK,Successful,Progress to O4,16 - 30 min,O2 Throw-In,O2 Build Up,,
101,102,1,1717.7641715606815,1740.4003314913484,O4 Finishing,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Chipball,O4 Finishing,Established Play,True
102,103,1,1738.3484543943482,1767.9386926633479,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,O2 After Regain,O2 Build Up,,
103,104,1,1772.882132385348,1812.4148925536815,D3 High Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,D3 Goal Kick or Free Kick,,,True
104,105,1,1811.2438890606813,1861.0545939256817,O2 Build Up,1st Half,FCK,Neutral,Stay In Phase,31 - 45 min,O2 Throw-In,O2 Build Up,,
105,106,1,1860.506263557682,1903.2190130916815,O2 Build Up,1st Half,FCK,Neutral,Stay In Phase,31 - 45 min,O2 Throw-In,O2 Build Up,,True
106,107,1,1903.2518516933483,1944.685860174348,O4 Finishing,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,Central Area,O4 Finishing,Lateral Free Kick,
107,108,1,1932.508460197348,1943.508460197348,off free kick,1st Half,FCK,,,,Central Area,,,
108,109,1,1948.6138759613482,1955.711719686015,D3 High Pressing,1st Half,FCK,Neutral,Stay In Phase,31 - 45 min,D3 Goal Kick or Free Kick,,,
109,110,1,1953.5746147543482,1977.3145751213483,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",31 - 45 min,D3 From High to Med/Low,,,
110,111,1,1975.679432581348,1995.4893930926814,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,1v1,,Transition,
111,112,1,1978.012498133015,1990.1531366603476,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D4 Defend The Box,31 - 45 min,O2 Free Kick,O2 Build Up,,
112,113,1,1984.4227782116814,2033.664943889015,D4 Defending the Box,1st Half,FCK,Successful,OFF Transition,31 - 45 min,Front Area,,Corner Kick,
113,114,1,2006.893594602273,2038.6470325994321,def corner,1st Half,FCK,,,,Front Area,,,True
114,115,1,2039.6392097746816,2068.448006318348,D3 Middle / Lower Pressing,1st Half,FCK,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,After Ball Loss,,,
115,116,1,2055.2924757860146,2077.515494739015,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,Chipball,,Transition,
116,117,1,2062.665099922015,2084.185498289015,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,1v1,,Transition,
117,118,1,2071.7985519353692,2111.386015003551,O4 Finishing,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,Pass Infront of Backline,O4 Finishing,Established Play,True
118,119,1,2074.7628625593484,2110.015877117015,O3 Break Through,1st Half,FCK,Successful,Lead to O4 chance,31 - 45 min,1v1 Wide / Halfspace,O3 Break Through,Established Play,
119,120,1,2082.569019502348,2093.891821396015,O2 Build Up,1st Half,FCK,Successful,Progress to Next Phase,31 - 45 min,O2 Free Kick,O2 Build Up,,
120,121,1,2117.4325904836815,2160.4619490767045,D3 High Pressing,1st Half,FCK,Successful,Direct to O3/O4 OFF Transit,31 - 45 min,After Ball Loss,,,True
121,122,1,2124.3080425313487,2150.5953918126816,O3 Break Through,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,31 - 45 min,D3 High Press on Opp. Half,O3 Break Through,Transition,
122,123,1,2144.1839623206815,2171.475979914015,O3 Break Through,1st Half,FCK,Neutral,Keep The Ball,31 - 45 min,Wide Link Up Play,O3 Break Through,Established Play,
123,124,1,2169.571304992015,2220.3548112210146,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,31 - 45 min,O3 to O2,O2 Build Up,,
124,125,1,2216.672506262015,2233.4779434566813,D2 Finding Balance,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",31 - 45 min,After Ball Loss,,,
125,126,1,2237.4629367596817,2260.4562649406816,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,31 - 45 min,O2 Throw-In,O2 Build Up,,
126,127,1,2252.594954416998,2263.594954416998,off throw,,FCK,,,,,,,
127,128,1,2263.896635764015,2291.266618919015,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",31 - 45 min,D3 Press on Throw-In,,,
128,129,1,2289.3027961786815,2305.5961854566817,O1 Play from the Back,1st Half,FCK,Successful,Progress to Next Phase,31 - 45 min,O1 Goal Kick or Free Kick,O1 Play from the Back,,
129,130,1,2304.5447354933485,2312.9899713630152,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,31 - 45 min,O1 to O2,O2 Build Up,,
130,131,1,2305.179725514015,2333.100216480348,D1 Counterpress,1st Half,FCK,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,After O2 build-up,,,
131,132,1,2325.8174385273487,2371.229775637015,D4 Defending the Box,1st Half,FCK,Successful,Intercepted by Defence,31 - 45 min,Front Area,,Lateral Free Kick,
132,133,1,2358.6556947326817,2369.6556947326817,def free kick,1st Half,FCK,,,,Front Area,,,
133,134,1,2376.0493647803482,2405.2571353760154,O1 Play from the Back,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,31 - 45 min,O1 Throw-In,O1 Play from the Back,,
134,135,1,2399.6381924360794,2448.577001260653,D3 High Pressing,1st Half,FCK,Successful,Direct to O3/O4 OFF Transit,31 - 45 min,D3 Press on Throw-In,,,True
135,136,1,2419.8843993240143,2466.166392325015,O3 Break Through,1st Half,FCK,Successful,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,D3 High Press on Opp. Half,O3 Break Through,Transition,
