Timeline,Start time,Duration,code,Instance number,00. Start Phase,01. Phase,02. Situation Type,03. Outcomes,04. Rating,Half,Opponent,Time Period,Ungrouped,Notes,Flags
26. VFF-FCN (1-0),1458.745855,30,Bench,3,,,,,,1st Half,,,,,
26. VFF-FCN (1-0),1815.14529,69.24708416,Bench,4,,,,,,,,,,**Chance for E + Dio.,New Flag
26. VFF-FCN (1-0),2234.004895,45.97702497,Bench,5,,,,,,,,,,kian vinkler godt ind for lang afstand. ernest hold tempo!,New Flag
26. VFF-FCN (1-0),2615.512485,28.17084842,Bench,6,,,,,,,,,,*O2-O4. ok i slut 1.h,New Flag
26. VFF-FCN (1-0),5402.375747,37.08400166,Bench,7,,,,,,,,,,*Osman dybt gir god mulighed.,New Flag
26. VFF-FCN (1-0),5444.742733,102.4639338,Bench,8,,,,,,,,,,**Two last corners. crossed + all in,New Flag
26. VFF-FCN (1-0),52.89867733,11,off throw,1,,,,,,,,,,,
26. VFF-FCN (1-0),4248.37,11.81958364,off throw,2,,,,,,,,,,,
26. VFF-FCN (1-0),4983.298518,11,off throw,3,,,,,,,,,,,
26. VFF-FCN (1-0),5018.399649,11,off throw,4,,,,,,,,,,,
26. VFF-FCN (1-0),450.9008101,20,Ndividual,1,,,,,,,,,,Gult til Leemans. holde villa tilbage.,New Flag
26. VFF-FCN (1-0),501.7291135,20,Ndividual,2,,,,,,,,,,Westergaard. Frispark på Bids.,New Flag
26. VFF-FCN (1-0),1083.763462,20,Ndividual,3,,,,,,,,,,"Jaxe. 1v1 def, glimrende",New Flag
26. VFF-FCN (1-0),1490.129708,20,Ndividual,4,,,,,,,,,,"jaxe, 1v1 def. glimrende brug af krop!",New Flag
26. VFF-FCN (1-0),4707.766581,20,Ndividual,5,,,,,,,,,,"Jaxe, godt tænkt. tæt på.",New Flag
26. VFF-FCN (1-0),4834.121705,20,Ndividual,6,,,,,,,,,,"jax. godt du viser dig, tydeligere kropspos.?",New Flag
